RideID,LatOrigem,LongOrigem,LatDestino,LongDestino,Distancia_KM,Estimatives
1184073,-12.122.359.200.000.000,-383.991.203,-121.387.491,-3.842.465.849.999.990,4.0,"{'pop99': 8.7, 'Uber Flash': 8.5, 'UberX': 8.5}"
1184074,-235.224.112,-461.867.739,-235.387.266,-462.245.505,5.15,"{'poupa99': 16.34, 'pop99': 16.34, 'turbo-taxi': 24.16, 'regular-taxi': 32.24, 'UberX': 12.5, 'Comfort': 19.0, 'Flash': 12.5, 'Black': 22.0, 'Bag': 17.0, 'Uber Promo': 10.5}"
1184075,-199.367.796,-4.392.993.970.000.000,-199.569.962,-43.934.515,2.7,"{'pop99': 10.93, 'turbo-taxi': 18.22, 'regular-taxi': 18.22, 'Uber Promo': 9.0, 'UberX': 9.5, 'Comfort': 10.5, 'UberFlash': 9.5, 'Black': 15.0, 'poupa99': 9.87}"
1184076,-19.811.060.899.999.900,-44.018.164.999.999.900,-197.731.671,-439.856.595,7.85,"{'poupa99': 15.4, 'pop99': 17.98, 'turbo-taxi': 33.37, 'regular-taxi': 33.37, 'UberX': 17.0, 'UberFlash': 19.0, 'Uber Promo': 15.5}"
1184078,-2.490.717.999.999.990,-44.255.183,-25.687.305,-4.418.928.519.999.990,15.58,"{'Flash': 27.5, 'Moto': 18.0, 'UberX': 27.5, 'Comfort': 34.5, 'turbo-taxi': 43.89, 'regular-taxi': 58.52, 'pop99': 21.15}"
1184079,-27.590.728.199.999.900,-486.168.419,-2.767.863.909.999.990,-4.865.910.419.999.990,14.54,"{'Flash': 24.0, 'Flash Moto': 17.5, 'Comfort': 28.5, 'UberX': 24.0, 'poupa99': 23.5, 'pop99': 26.21, 'turbo-taxi': 36.23, 'regular-taxi': 48.3, 'Uber Promo': 20.0}"
1184082,-235.745.135,-4.657.126.290.000.000,-235.870.993,-465.250.726,5.53,"{'poupa99': 15.94, 'pop99': 15.94, 'turbo-taxi': 21.53, 'regular-taxi': 26.91, 'UberX': 15.5, 'Comfort': 22.0, 'Flash': 14.5, 'Black': 26.0, 'Bag': 21.0, 'Black Bag': 31.5, 'Uber Promo': 13.5}"
1184083,-128.477.725,-384.573.892,-128.935.762,-384.569.434,07.07,"{'poupa99': 13.87, 'pop99': 13.87, 'turbo-taxi': 24.44, 'regular-taxi': 27.16, 'Flash Moto': 10.5, 'UberX': 14.5, 'Comfort': 18.0, 'UberFlash': 14.5, 'Uber Promo': 12.5}"
1184084,-229.276.231,-433.397.948,-228.998.304,-431.811.301,21.9,"{'UberX': 33.5, 'Comfort': 57.5, 'UberFlash': 33.5, 'Black': 74.5, 'poupa99': 28.91, 'pop99': 32.08, 'turbo-taxi': 94.59, 'regular-taxi': 94.59, 'Uber Promo': 28.5}"
1184085,-12.847.335,-38.456.063,-128.935.762,-384.569.434,07.01,"{'poupa99': 13.87, 'turbo-taxi': 24.44, 'regular-taxi': 27.16, 'Flash Moto': 10.5, 'UberX': 14.5, 'Comfort': 18.0, 'UberFlash': 14.5, 'Uber Promo': 12.5, 'pop99': 13.87}"
1184087,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'pop99': 14.46, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'Uber Promo': 13.5, 'UberX': 15.0, 'UberFlash': 18.0, 'poupa99': 12.69}"
1184088,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'poupa99': 12.69, 'pop99': 14.46, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'UberX': 13.5, 'UberFlash': 17.0, 'Uber Promo': 12.5}"
1184089,-25.429.472,-4.923.023,-254.536.174,-492.091.027,4.57,"{'poupa99': 12.81, 'pop99': 12.81, 'turbo-taxi': 23.74, 'regular-taxi': 23.74, 'Flash': 13.5, 'UberX': 13.5, 'Comfort': 15.5, 'Black': 25.0, 'Uber Promo': 10.5}"
1184090,-26.913.142.399.999.900,-48.689.696,-268.846.053,-486.947.933,3.93,"{'Uber Flash': 11.5, 'UberX': 11.5, 'Comfort': 12.5, 'poupa99': 11.28, 'pop99': 12.34, 'turbo-taxi': 30.16, 'regular-taxi': 30.16, 'Uber Promo': 9.5}"
1184091,-26.482.306,-49.101.687,-264.923.106,-490.760.242,3.76,"{'Flash': 9.5, 'poupa99': 10.11, 'Comfort': 11.5, 'pop99': 10.11, 'regular-taxi': 27.32, 'UberX': 9.5}"
1184092,-229.486.163,-431.862.547,-229.648.204,-4.321.838.229.999.990,4.97,"{'poupa99': 14.22, 'pop99': 14.22, 'turbo-taxi': 34.37, 'regular-taxi': 34.37, 'UberX': 13.5, 'Comfort': 16.0, 'UberFlash': 13.5, 'Black': 22.0, 'Uber Promo': 13.5}"
1184093,-27.812.742.999.999.900,-50.320.966.000.000.000,-277.987.133,-503.067.553,3.35,"{'Flash': 0.5, 'pop99': 8.82, 'UberX': 8.0}"
1184094,-199.994.669,-438.923.154,-1.996.936,-4.397.338.999.999.990,13.51,"{'poupa99': 20.21, 'turbo-taxi': 51.0, 'regular-taxi': 51.0, 'Uber Promo': 26.5, 'UberX': 29.5, 'Comfort': 32.5, 'UberFlash': 29.5, 'Black': 43.0, 'pop99': 20.21}"
1184095,-50.739.231,-427.918.419,-50.622.919,-428.111.016,4.21,"{'Uber Promo': 9.5, 'Uber Flash': 10.5, 'Moto': 7.5, 'UberX': 10.5, 'poupa99': 8.58, 'turbo-taxi': 14.76, 'regular-taxi': 18.33, 'pop99': 8.58}"
1184096,-19.999.755,-43.891.345,-1.996.936,-4.397.338.999.999.990,12.83,"{'poupa99': 23.39, 'pop99': 23.39, 'turbo-taxi': 49.94, 'regular-taxi': 49.94, 'UberX': 28.5, 'Comfort': 31.5, 'UberFlash': 28.5, 'Black': 43.0, 'Uber Promo': 26.0}"
1184097,-157.335.207,-478.648.045,-157.209.122,-47.882.941,2.93,"{'poupa99': 8.7, 'pop99': 8.7, 'turbo-taxi': 18.43, 'regular-taxi': 18.43, 'Flash Moto': 6.0, 'UberX': 9.5, 'Comfort': 10.5, 'Flash': 9.5, 'Black': 15.5, 'Bag': 12.0, 'Uber Promo': 8.5}"
1184099,-191.911.497,-40.093.979.399.999.900,-193.930.754,-400.512.605,26.07,{'pop99': 50.65}
1184100,-53.507.773,-49.116.094,-53.751.123,-491.147.532,5.25,"{'turbo-taxi': 33.14, 'regular-taxi': 33.14, 'UberX': 18.0, 'pop99': 13.75}"
1184101,-2.051.304,-546.060.048,-205.445.381,-5.463.061.440.000.000,5.58,"{'Flash': 12.5, 'Uber Promo': 10.5, 'UberX': 12.5, 'Comfort': 19.0, 'poupa99': 9.99, 'turbo-taxi': 21.28, 'regular-taxi': 25.03, 'pop99': 9.99}"
1184102,-23.566.487,-46.664.765,-2.357.593.860.000.000,-466.160.384,9.15,"{'UberX': 19.0, 'Comfort': 26.0, 'Flash': 18.0, 'Black': 31.5, 'Bag': 24.0, 'Black Bag': 38.0, 'Taxi': 25.5, 'poupa99': 20.73, 'pop99': 20.73, 'turbo-taxi': 35.82, 'regular-taxi': 44.77, 'Uber Promo': 16.5}"
1184103,-19.599.141,-44.044.793,-196.190.304,-440.417.985,3.75,"{'Uber Promo': 10.5, 'UberX': 11.5, 'Comfort': 14.0, 'UberFlash': 11.5, 'poupa99': 9.29, 'turbo-taxi': 18.22, 'regular-taxi': 18.22, 'pop99': 9.29}"
1184104,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'Uber Promo': 10.5, 'UberX': 11.5, 'UberFlash': 14.5, 'poupa99': 14.46, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'pop99': 14.46}"
1184105,-199.399.357,-439.633.408,-199.327.368,-439.563.672,1.41,"{'poupa99': 9.17, 'pop99': 9.17, 'turbo-taxi': 12.57, 'regular-taxi': 12.57, 'UberX': 7.5, 'Comfort': 8.5, 'UberFlash': 7.5, 'Black': 12.0, 'Uber Promo': 7.0}"
1184107,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'poupa99': 14.46, 'pop99': 14.46, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'UberX': 11.5, 'UberFlash': 14.5, 'Uber Promo': 10.5}"
1184108,-158.160.738,-479.778.154,-158.157.808,-480.908.627,15.64,"{'pop99': 28.91, 'turbo-taxi': 47.97, 'regular-taxi': 68.52, 'Uber Promo': 22.0, 'Flash Moto': 16.5, 'UberX': 25.0, 'Comfort': 30.5, 'Flash': 25.0, 'Black': 48.5, 'Bag': 35.5, 'poupa99': 21.62}"
1184109,-15.800.922.199.999.900,-478.713.353,-157.911.062,-478.796.168,1.93,"{'Flash Moto': 5.0, 'UberX': 7.5, 'Comfort': 8.5, 'Flash': 7.5, 'Black': 11.5, 'Bag': 9.5, 'poupa99': 7.17, 'pop99': 7.17, 'turbo-taxi': 17.4, 'regular-taxi': 17.4, 'Uber Promo': 7.0}"
1184110,-19.599.128,-44.045.755,-196.190.304,-440.417.985,3.76,"{'poupa99': 8.82, 'pop99': 8.82, 'turbo-taxi': 17.86, 'regular-taxi': 17.86, 'UberX': 11.5, 'Comfort': 14.0, 'UberFlash': 11.5, 'Uber Promo': 10.5}"
1184111,-158.160.738,-479.778.154,-158.157.808,-480.908.627,15.64,"{'poupa99': 21.62, 'pop99': 28.91, 'turbo-taxi': 47.97, 'regular-taxi': 68.52, 'Flash Moto': 16.5, 'UberX': 25.0, 'Comfort': 30.5, 'Flash': 25.0, 'Black': 48.5, 'Bag': 35.5, 'Uber Promo': 22.0}"
1184112,-235.468.279,-466.421.714,-235.566.781,-466.608.408,04.05,"{'UberX': 12.5, 'poupa99': 12.11, 'Comfort': 17.5, 'Flash': 11.5, 'pop99': 12.11, 'comfort99': 13.87, 'Black': 20.0, 'turbo-taxi': 20.4, 'Bag': 17.5, 'top99': 25.5, 'regular-taxi': 25.5, 'Black Bag': 25.0, 'Taxi': 16.5, 'Uber Promo': 10.5}"
1184113,-254.435.568,-492.831.132,-254.438.154,-49.270.896,1.52,"{'Flash': 10.5, 'UberX': 10.5, 'Comfort': 12.5, 'Black': 19.0, 'poupa99': 17.05, 'pop99': 17.05, 'turbo-taxi': 17.56, 'regular-taxi': 19.51, 'Uber Promo': 8.5}"
1184114,-128.919.047,-38.325.902,-129.128.009,-383.596.205,4.94,"{'poupa99': 11.05, 'pop99': 11.05, 'regular-taxi': 26.8, 'Flash Moto': 8.5, 'Moto': 8.5, 'UberX': 11.5, 'Comfort': 14.5, 'UberFlash': 11.5, 'Uber Promo': 10.5}"
1184115,-298.876.602,-502.753.403,-299.933.333,-501.447.222,21.38,"{'pop99': 40.3, 'UberFlash': 25.0, 'UberX': 25.0, 'Comfort': 39.0, 'Uber Promo': 21.0}"
1184116,-234.442.135,-467.171.035,-234.799.851,-467.647.022,17.62,"{'pop99': 31.38, 'turbo-taxi': 35.44, 'regular-taxi': 44.3, 'Uber Promo': 31.5, 'UberX': 36.0, 'Comfort': 48.5, 'Flash': 33.5, 'Black': 61.0, 'Bag': 46.5, 'poupa99': 25.62}"
1184117,-23.517.812,-467.265.758,-235.179.329,-4.675.215.529.999.990,6.77,"{'poupa99': 18.17, 'pop99': 18.17, 'turbo-taxi': 25.29, 'regular-taxi': 31.61, 'UberX': 18.5, 'Comfort': 22.0, 'Flash': 17.5, 'Black': 27.0, 'Bag': 24.0, 'Black Bag': 32.5, 'Taxi': 26.5, 'Uber Promo': 16.0}"
1184118,-2.970.396,-537.392.733,-297.012.041,-537.209.295,3.51,"{'poupa99': 8.23, 'pop99': 8.23, 'regular-taxi': 14.49, 'UberX': 10.5, 'Uber Flash': 10.5, 'UberX Promo': 8.0}"
1184120,-2.916.519.220.000.000,-511.540.195,-291.309.556,-511.953.869,9.12,"{'poupa99': 17.39, 'pop99': 19.39, 'comfort99': 18.1, 'turbo-taxi': 37.96, 'regular-taxi': 40.47, 'Uber Flash': 18.0, 'Comfort': 21.0, 'UberX': 18.0, 'Uber Promo': 15.5}"
1184121,-128.851.175,-38.308.054,-129.128.009,-383.596.205,7.75,"{'Flash Moto': 13.5, 'Moto': 11.5, 'UberX': 16.0, 'Comfort': 22.0, 'UberFlash': 16.0, 'Uber Promo': 13.5, 'pop99': 16.69, 'regular-taxi': 43.37, 'poupa99': 15.04}"
1184122,-23.517.812,-467.265.758,-235.179.329,-4.675.215.529.999.990,6.77,"{'Uber Promo': 16.0, 'UberX': 18.5, 'Comfort': 22.0, 'Flash': 17.5, 'Black': 27.0, 'Bag': 24.0, 'Black Bag': 32.5, 'Taxi': 26.5, 'poupa99': 18.99, 'turbo-taxi': 25.29, 'regular-taxi': 31.61, 'pop99': 18.99}"
1184123,-300.119.944,-51.161.985.599.999.900,-300.221.071,-511.513.498,2.25,"{'UberFlash': 7.5, 'Flash Moto': 5.5, 'UberX': 7.5, 'Comfort': 9.5, 'Black': 14.5, 'poupa99': 7.99, 'pop99': 7.99, 'turbo-taxi': 18.31, 'regular-taxi': 18.31, 'Uber Promo': 6.5}"
1184124,-204.601.136,-546.931.601,-204.628.752,-546.157.108,9.57,"{'Flash': 13.5, 'Moto': 10.0, 'UberX': 13.5, 'poupa99': 14.1, 'pop99': 14.1, 'turbo-taxi': 34.47, 'regular-taxi': 40.54, 'Uber Promo': 11.5}"
1184125,-235.468.279,-466.421.714,-235.566.781,-466.608.408,04.05,"{'poupa99': 12.09, 'comfort99': 13.86, 'turbo-taxi': 20.4, 'top99': 25.5, 'regular-taxi': 25.5, 'Uber Promo': 10.5, 'UberX': 12.5, 'Comfort': 17.0, 'Flash': 11.5, 'Black': 20.0, 'Bag': 17.5, 'Black Bag': 25.0, 'Taxi': 16.5, 'pop99': 12.09}"
1184126,-229.188.126,-432.175.404,-229.089.147,-431.931.404,3.49,"{'poupa99': 9.64, 'pop99': 9.64, 'turbo-taxi': 21.15, 'regular-taxi': 21.15, 'UberX': 9.5, 'Comfort': 12.5, 'UberFlash': 9.5, 'Black': 17.0, 'Uber Promo': 8.5}"
1184127,-128.851.175,-38.308.054,-129.128.009,-383.596.205,7.75,"{'Flash Moto': 13.5, 'Moto': 11.5, 'UberX': 16.0, 'Comfort': 22.0, 'UberFlash': 16.0, 'poupa99': 13.87, 'pop99': 16.45, 'regular-taxi': 43.37, 'Uber Promo': 13.5}"
1184128,-237.240.427,-464.840.762,-236.934.853,-46.505.619,06.02,"{'Flash': 14.0, 'poupa99': 14.46, 'pop99': 14.46, 'turbo-taxi': 25.73, 'regular-taxi': 25.73, 'UberX': 14.0}"
1184129,-23.509.233.899.999.900,-467.626.911,-235.503.903,-467.519.167,9.89,"{'UberX': 20.0, 'Comfort': 29.0, 'Flash': 20.0, 'Black': 36.0, 'Bag': 27.0, 'poupa99': 23.5, 'pop99': 23.5, 'turbo-taxi': 35.82, 'regular-taxi': 44.77, 'Uber Promo': 17.0}"
1184130,-291.667.777,-515.112.867,-291.625.683,-51.499.217,1.68,"{'poupa99': 13.96, 'pop99': 13.96}"
1184131,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'Uber Promo': 10.5, 'UberX': 11.5, 'UberFlash': 14.5, 'pop99': 13.05, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'poupa99': 11.52}"
1184132,-229.188.126,-432.175.404,-229.089.147,-431.931.404,3.49,"{'poupa99': 9.64, 'turbo-taxi': 21.15, 'regular-taxi': 21.15, 'Uber Promo': 8.5, 'UberX': 9.5, 'Comfort': 12.5, 'UberFlash': 9.5, 'Black': 17.0, 'pop99': 9.64}"
1184133,-23.509.233.899.999.900,-467.626.911,-235.503.903,-467.519.167,9.89,"{'poupa99': 23.5, 'turbo-taxi': 35.82, 'regular-taxi': 44.77, 'Uber Promo': 17.0, 'UberX': 20.0, 'Comfort': 29.0, 'Flash': 20.0, 'Black': 36.0, 'Bag': 27.0, 'pop99': 23.5}"
1184134,-198.929.048,-438.230.705,-198.819.086,-4.385.803.649.999.990,8.46,"{'poupa99': 11.52, 'pop99': 13.05, 'turbo-taxi': 25.97, 'regular-taxi': 25.97, 'UberX': 12.5, 'UberFlash': 15.5, 'Uber Promo': 11.5}"
1184135,-80.078.851,-348.422.537,-79.937.632,-348.422.382,2.0,"{'pop99': 7.17, 'turbo-taxi': 10.53, 'regular-taxi': 10.7, 'Flash': 6.0, 'Flash Moto': 5.0, 'Moto': 5.0, 'UberX': 6.0, 'Comfort': 8.5, 'UberX Promo': 5.0}"
1184136,-235.468.279,-466.421.714,-235.566.781,-466.608.408,04.05,"{'UberX': 12.5, 'Comfort': 17.0, 'Flash': 11.5, 'Black': 20.0, 'Bag': 17.5, 'Black Bag': 25.0, 'Taxi': 16.5, 'poupa99': 12.09, 'pop99': 12.09, 'comfort99': 13.86, 'turbo-taxi': 20.4, 'top99': 25.5, 'regular-taxi': 25.5, 'Uber Promo': 10.5}"
1184137,-23.200.578.999.999.900,-472.890.749,-232.622.252,-472.849.052,12.85,"{'Flash': 15.5, 'pop99': 19.04, 'UberX': 15.5}"
1184138,-26.913.142.399.999.900,-48.689.696,-269.046.852,-486.634.572,03.05,"{'poupa99': 10.23, 'pop99': 11.28, 'turbo-taxi': 27.81, 'regular-taxi': 27.81, 'Uber Flash': 8.5, 'UberX': 9.5, 'Comfort': 11.0, 'Uber Promo': 8.5}"
1184139,-2.970.396,-537.392.733,-297.012.041,-537.209.295,3.51,"{'UberX': 10.5, 'UberX Promo': 8.0, 'Uber Flash': 10.5, 'poupa99': 8.23, 'regular-taxi': 14.49, 'pop99': 8.23}"
1184140,-23.200.578.999.999.900,-472.890.749,-232.622.252,-472.849.052,12.85,"{'Flash': 15.5, 'UberX': 15.5, 'pop99': 16.1}"
1184141,-23.517.812,-467.265.758,-235.179.329,-4.675.215.529.999.990,6.77,"{'poupa99': 19.24, 'pop99': 19.24, 'turbo-taxi': 25.66, 'regular-taxi': 32.08, 'UberX': 19.0, 'Comfort': 22.0, 'Flash': 18.0, 'Black': 27.5, 'Bag': 24.0, 'Black Bag': 33.5, 'Taxi': 27.0, 'Uber Promo': 16.0}"
1184142,-19.987.805.599.999.900,-439.904.288,-199.947.522,-440.037.163,1.73,"{'UberX': 7.5, 'UberFlash': 7.5, 'Black': 14.5, 'poupa99': 9.52, 'pop99': 9.52, 'turbo-taxi': 14.34, 'regular-taxi': 14.34, 'Uber Promo': 7.0}"
1184143,-22.333.581.499.999.900,-490.695.766,-222.978.808,-490.362.264,9.48,"{'pop99': 13.87, 'turbo-taxi': 47.18, 'regular-taxi': 47.18, 'UberX Promo': 12.5, 'Uber Flash': 15.0, 'UberX': 15.0, 'Comfort': 22.0, 'poupa99': 11.64}"
1184144,-2.970.396,-537.392.733,-297.012.041,-537.209.295,3.51,"{'UberX': 10.5, 'Uber Flash': 10.5, 'poupa99': 8.23, 'pop99': 8.23, 'regular-taxi': 14.49, 'UberX Promo': 8.0}"
1184145,-81.128.662,-3.503.097.489.999.990,-80.296.839,-349.440.369,23.89,"{'Flash': 26.0, 'pop99': 30.02, 'turbo-taxi': 67.35, 'regular-taxi': 67.35, 'UberX': 26.0}"
1184146,-217.718.292,-43.337.254.099.999.900,-217.591.406,-433.497.409,03.03,"{'UberX': 10.0, 'Uber Flash': 10.0, 'pop99': 8.7, 'turbo-taxi': 20.66, 'regular-taxi': 20.66, 'UberX Promo': 8.5}"
1184147,-235.282.603,-462.035.695,-235.376.959,-4.622.784.490.000.000,03.08,"{'UberX': 8.5, 'Comfort': 12.5, 'Flash': 8.5, 'Black': 15.0, 'Bag': 12.5, 'Black Bag': 18.0, 'poupa99': 9.99, 'pop99': 9.99, 'comfort99': 11.52, 'delivery99': 9.99, 'turbo-taxi': 15.14, 'top99': 18.92, 'regular-taxi': 19.91, 'Uber Promo': 7.5}"
1184148,-19.191.139,-400.941.522,-193.930.754,-400.512.605,25.95,{'pop99': 52.88}
1184149,-2.970.396,-537.392.733,-297.012.041,-537.209.295,3.51,"{'UberX': 10.5, 'UberX Promo': 8.0, 'Uber Flash': 10.5, 'poupa99': 39.39, 'pop99': 39.39, 'regular-taxi': 14.49}"
1184150,-235.282.603,-462.035.695,-235.376.959,-4.622.784.490.000.000,03.08,"{'poupa99': 9.99, 'comfort99': 11.52, 'delivery99': 9.99, 'turbo-taxi': 15.14, 'top99': 18.92, 'regular-taxi': 19.91, 'Uber Promo': 7.5, 'UberX': 8.5, 'Comfort': 12.5, 'Flash': 8.5, 'Black': 15.0, 'Bag': 12.5, 'Black Bag': 18.0, 'pop99': 9.99}"
1184151,-229.168.395,-432.494.445,-229.250.417,-4.325.014.829.999.990,1.43,"{'poupa99': 7.64, 'pop99': 7.64, 'turbo-taxi': 16.16, 'regular-taxi': 16.16, 'Uber Promo': 8.0, 'Comfort': 9.5, 'UberFlash': 7.5, 'Black': 11.5, 'UberX': 7.5}"
1184152,-2.970.396,-537.392.733,-297.012.041,-537.209.295,3.51,"{'UberX': 10.5, 'poupa99': 39.39, 'pop99': 39.39, 'Uber Flash': 10.5, 'regular-taxi': 14.49, 'UberX Promo': 8.0}"
1184153,-320.663.795,-521.475.944,-3.205.530.170.000.000,-521.490.288,1.42,"{'pop99': 6.35, 'UberX': 6.5, 'Uber Flash': 6.5, 'Uber Promo': 6.0}"
1184154,-229.168.395,-432.494.445,-229.250.417,-4.325.014.829.999.990,1.43,"{'poupa99': 7.64, 'turbo-taxi': 15.57, 'regular-taxi': 15.57, 'Uber Promo': 8.0, 'UberX': 7.5, 'Comfort': 9.5, 'UberFlash': 7.5, 'Black': 11.5, 'pop99': 7.64}"
1184155,-235.890.842,-465.438.623,-235.415.564,-465.241.585,7.25,"{'UberX': 21.0, 'Comfort': 27.0, 'Flash': 20.0, 'Black': 31.5, 'Bag': 29.0, 'poupa99': 24.28, 'pop99': 24.28, 'turbo-taxi': 31.68, 'regular-taxi': 39.6, 'Uber Promo': 18.0}"
1184156,-320.663.795,-521.475.944,-3.205.530.170.000.000,-521.490.288,1.42,"{'UberX': 6.5, 'Uber Promo': 6.0, 'Uber Flash': 6.5, 'pop99': 6.35}"
1184157,-211.756.686,-477.948.317,-211.403.036,-4.781.143.429.999.990,7.16,"{'Uber Flash': 13.5, 'Flash Moto': 10.5, 'UberX': 13.5, 'Comfort': 19.0, 'poupa99': 13.63, 'pop99': 13.63, 'turbo-taxi': 21.86, 'regular-taxi': 36.55, 'Uber Promo': 12.0}"
1184159,-212.029.842,-478.091.576,-211.987.376,-478.527.946,8.91,"{'poupa99': 13.28, 'pop99': 14.34, 'turbo-taxi': 23.19, 'regular-taxi': 40.07, 'Uber Flash': 14.5, 'Flash Moto': 10.5, 'UberX': 14.5, 'Comfort': 20.0, 'Uber Promo': 12.5}"
1184160,-25.110.011.500.000.000,-501.548.178,-2.507.272.129.999.990,-5.014.996.499.999.990,5.44,"{'Comfort': 16.0, 'Uber Flash': 13.5, 'pop99': 13.28, 'turbo-taxi': 34.67, 'regular-taxi': 34.55, 'UberX': 13.5}"
1184161,-212.029.842,-478.091.576,-211.987.376,-478.527.946,8.91,"{'Uber Promo': 12.5, 'Uber Flash': 14.5, 'Flash Moto': 10.5, 'UberX': 14.5, 'Comfort': 20.0, 'pop99': 14.34, 'turbo-taxi': 23.19, 'regular-taxi': 40.07, 'poupa99': 12.93}"
1184162,-211.756.686,-477.948.317,-211.403.036,-4.781.143.429.999.990,7.16,"{'poupa99': 12.11, 'turbo-taxi': 21.86, 'regular-taxi': 36.55, 'Uber Promo': 12.0, 'Uber Flash': 13.5, 'Flash Moto': 10.5, 'UberX': 13.5, 'Comfort': 19.0, 'pop99': 12.11}"
1184163,-156.623.441,-56.134.901.199.999.900,-156.372.891,-561.506.324,4.54,"{'Flash': 9.5, 'Comfort': 15.5, 'pop99': 9.64, 'regular-taxi': 31.49, 'UberX': 9.5}"
1184165,-236.717.294,-465.768.142,-237.086.489,-465.961.639,7.59,"{'poupa99': 16.92, 'pop99': 16.92, 'turbo-taxi': 30.74, 'regular-taxi': 38.43, 'UberX': 16.0, 'Comfort': 23.5, 'Flash': 16.0, 'Black': 29.0, 'Uber Promo': 13.5}"
1184166,-227.379.682,-434.782.285,-228.276.843,-4.333.897.109.999.990,26.67,"{'pop99': 33.61, 'turbo-taxi': 88.72, 'regular-taxi': 88.72, 'UberX': 35.0, 'Comfort': 60.0, 'UberFlash': 35.0, 'Black': 77.5, 'Uber Promo': 28.5}"
1184167,-199.311.968,-4.392.317.759.999.990,-199.282.599,-4.392.947.700.000.000,0.96,"{'poupa99': 8.46, 'pop99': 8.46, 'turbo-taxi': 12.93, 'regular-taxi': 12.93, 'UberX': 7.5, 'Comfort': 8.5, 'UberFlash': 7.5, 'Black': 12.0, 'Uber Promo': 7.0}"
1184168,-37.312.056.999.999.900,-385.421.267,-37.291.858,-384.781.545,09.06,"{'pop99': 19.04, 'turbo-taxi': 45.95, 'regular-taxi': 45.95, 'UberX Promo': 22.0, 'Moto': 12.5, 'Flash Moto': 16.0, 'UberX': 27.0, 'Comfort': 25.5, 'Flash': 27.5, 'poupa99': 17.16}"
1184169,-235.236.518,-467.640.349,-231.949.485,-46.901.822,49.18,"{'pop99': 88.95, 'turbo-taxi': 164.78, 'top99': 163.68, 'regular-taxi': 191.88, 'UberX': 97.5, 'Comfort': 121.0, 'Flash': 97.5, 'Black': 159.5, 'Bag': 124.0, 'Uber Promo': 84.0}"
1184170,-234.441.691,-467.179.616,-234.799.851,-467.647.022,18.07,"{'pop99': 31.76, 'turbo-taxi': 42.85, 'regular-taxi': 50.41, 'Uber Promo': 31.5, 'UberX': 36.0, 'Comfort': 48.5, 'Flash': 33.5, 'Black': 61.0, 'Bag': 46.5, 'poupa99': 26.01}"
1184171,-23.416.428,-465.053.433,-234.604.377,-465.190.567,6.3,"{'UberX': 15.0, 'Comfort': 22.5, 'Flash': 15.0, 'Black': 26.5, 'Bag': 21.0, 'Black Bag': 33.0, 'poupa99': 17.74, 'pop99': 17.74, 'turbo-taxi': 30.41, 'regular-taxi': 38.01, 'Uber Promo': 12.5}"
1184172,-300.734.865,-51.204.237.199.999.900,-300.385.552,-511.723.869,6.53,"{'UberFlash': 13.5, 'Flash Moto': 9.5, 'UberX': 13.5, 'Comfort': 17.0, 'Black': 29.5, 'poupa99': 40.43, 'pop99': 40.43, 'turbo-taxi': 34.29, 'regular-taxi': 34.29, 'Uber Promo': 10.5}"
1184173,-25.192.627,-442.584.425,-25.754.396,-44.179.145,12.89,"{'turbo-taxi': 38.6, 'regular-taxi': 51.47, 'Flash': 26.0, 'Moto': 16.5, 'UberX': 26.0, 'Comfort': 31.5, 'pop99': 22.68}"
1184175,-212.029.842,-478.091.576,-211.987.376,-478.527.946,8.91,"{'Uber Flash': 14.5, 'Flash Moto': 10.5, 'UberX': 14.5, 'Comfort': 20.0, 'poupa99': 12.93, 'pop99': 14.34, 'turbo-taxi': 23.19, 'regular-taxi': 40.07, 'Uber Promo': 12.5}"
1184176,-275.960.717,-48.555.233.799.999.900,-27.607.605,-485.866.169,7.19,"{'Flash': 11.5, 'Flash Moto': 8.5, 'Comfort': 15.0, 'UberX': 11.5, 'poupa99': 10.7, 'pop99': 10.7, 'turbo-taxi': 16.18, 'regular-taxi': 21.56, 'Uber Promo': 10.0}"
1184177,-23.291.943.099.999.900,-512.120.306,-233.130.013,-5.114.608.579.999.990,09.05,"{'turbo-taxi': 41.35, 'regular-taxi': 48.65, 'Uber Promo': 15.0, 'Moto': 13.0, 'UberX': 17.5, 'Comfort': 23.5, 'pop99': 13.87}"
1184178,-211.756.686,-477.948.317,-211.403.036,-4.781.143.429.999.990,7.16,"{'Uber Flash': 13.5, 'Flash Moto': 10.5, 'UberX': 13.5, 'Comfort': 19.0, 'poupa99': 12.22, 'pop99': 12.22, 'turbo-taxi': 21.86, 'regular-taxi': 36.55, 'Uber Promo': 12.0}"
